Survey number,Survey Date,Insured name,Risk location,DIV,Sur.or,p,Report,Total,A+,A+d,A,Ad,B,Bd,C,Cd,stt,Clt. No,Po. No,Accumulate,Survey month,Survey year,renew date
VC - 220601 - 01,01/06/2022,"MUTO VIETNAM CO., LTD","MUTO VIETNAM CO., LTD, No 2 Road No 9A, Bien Hoa 2 IP, Bien Hoa, Dong Nai",VC,NTT,p,UW,3,,,2,,1,,,,n,10000081,20025794,DNBHMUTOVI,6,2022,31/12/2009
VH - 220803 - 01,03/08/2022,"HAL VIETNAM CO., LTD","HAL VIETNAM CO., LTD, Plot B19, Thang Long IP, Dong Anh, Ha Noi",VH,INT,p,RM,,,,,,,,,,,,,HNDATLIPHA,8,,31/12/2009
MN - 221207 - 01,07/12/2023,"TOYOPLAS AMNUFACTURING (BAC GIANG) CO., LTD.","Lot CN-04, Hoa Phu Industrial Zone, Hiep Hoa, Bac Giang",MN,TDH,n,UW,,,,,,,,,,,,,,,,31/12/2011
VH - 220215 - 01,15/02/2022,"OHARA PLASTICS VIETNAM CO., LTD.","OHARA PLASTICS VIETNAM CO., LTD., B11/B12, Thang Long IP, Dong Anh, Ha Noi",VH,TDH,p,UW,8,1,1,4,4,3,3,,,y,10000109,20003162,HNDATLIB11,2,2022,19/12/2012
VC - 220316 - 01,16/03/2022,"SHIRAI VIETNAM CO., LTD","SHIRAI VIETNAM CO., LTD, Plot 218, Amata IP, Long Binh Ward, Bien Hoa City, Dong Nai",VC,VKH,p,UW,4,,,,,2,,2,,n,10000915,20012516,DNLBBHA218,3,2022,03/12/2013
MS - 221018,18/10/2022,"CHEN TAI (VIET NAM) WOVEN TAPES ENTERPRISE CO.,LTD","CHEN TAI (VIET NAM) WOVEN TAPES, Lot H-1A-CN, Road N8, My Phuoc 1 IZ, Ben Cat, Binh Duong",MS,MCN,p,UW,7,,,1,,5,,1,,,10000568,20020209,BDBCMPCHEN,10,2022,31/12/2013
VH - 211229 - 01,29/12/2021,"NISSIN ELECTRIC VIETNAM CO. LTD.,","NISSIN ELECTRIC VIETNAM CO. LTD.,, No.7,TS11 Road,Tien Son IZ, Tu Son, Bac Ninh",VH,TDH,p,UW,2,,,1,1,1,1,,,y,10001847,20007610,BNTSTSIZNI,12,2021,24/12/2014
VC - 220106 - 01,06/01/2022,"TOYOTSU SAMCO MOTOR CO., LTD.","TOYOTSU SAMCO MOTOR COMPANY LIMITED, 264 Tran Hung Dao Street, District 1, HCMC",VC,VKH,u,UW,2,,,,,2,,,,n,10004289,20014576,SGD1THD264,1,2022,24/12/2014
VC - 221213,13/12/2022,EDJO COMPANY LIMITED,"EDJO COMPANY LIMITED, Lot I5, Road 04, Hai Son IP, Binh Tien 2, Duc Hue, Long An",VC,NNH,p,UW,4,3,,1,,,,,,,10016360,20039271,LADHHS04I5,,,31/12/2015
VC - 220927,27/09/2022,"DAIM VIET NAM CO., LTD","DAIM VIET NAM Co., Ltd, Lot C8, Rd N3, Nam Tan Uyen IP, Khanh Binh,T Uyen, Binh Duong",VC,NNH,p,RM,5,,,,,5,,,,n,10002486,20018648,BDTUKBDAIM,9,2022,31/12/2016
VC - 221012 - 02,12/10/2022,"TOYOTA TSUSHO VIETNAM CO.,LTD(HOCHIMINH BRANCH)","ICD TAN CANG - LONG BINH WAREHOUSE -No.6/9A/15, G243 Bui Van Hoa Street, Long Binh, Bien Hoa, Dong Nai",VC,MCN,p,UW,,,,,,,,,,,10000165,20035565,DNBHICDLB4,10,2022,31/12/2017
NA,06/01/2022,"KAI SHUN CO., LTD","Lot No. 211, Map No. 52, Binh Co Hamlet, Binh My Commune, Bac Tan Uyen District, Binh Duong Province, Vietnam",MS,VKH,u,,11,,,5,,5,,1,,n,,,,1,2022,31/12/2018
MS - 220622 - 01,22/06/2022,"FOOTGEARMEX FOOTWEAR CO., LTD(TY HUNG)","Footgearmex Footwear Co., Ltd., 162A Ho Hoc Lam, An Lac, Binh Tan, HCMC",MS,VKH,p,UW,,,,,,,,,,,10000711,20047897,SGBTALFOOT,6,2022,31/12/2019
VH - 221115 - 01,15/11/2022,FUJIKURA COMPOSITES HAIPHONG INC.,"FURIKURA COMPOSITES HAIPHONG INC, Plot D3-6, Nomura IZ, An Duong, Hai Phong",VH,NTT,p,UW,9,,,7,,2,,,,n,10000154,20000359,HPADNOMURA,,,07/12/2021
MS - 221019 - 02,19/10/2022,"GOLDEN VIETNAMTEX CO., LTD","	Lot B7_A13_CN, N14 Street, Bau Bang IP, Lai Uyen, Bau Bang, Binh Duong, Viet Nam.",MS,MCN,n,UW,6,,,,,4,,2,,,,,,10,2022,10/12/2021
VC - 220225 - 01,25/02/2022,MARUICHI SUN STEEL JOINT STOCKCOMPANY,"MARUICHI SUN STEEL JOINT STOCK COMPANY- RIGHT SIDE, 743 lot A, Dong An, Tan Dong Hiep, Di An,, Binh Duong",VC,VKH,p,UW,2,,,1,,1,,,,n,10000172,20019830,BDDATDHDAR,2,2022,11/12/2021
VH - 221007,07/10/2022,"MITSUI & CO. COFFEE TRADING (USA), INC.","CWT Commodity Logistics, Street No. 5, An Phuoc IP, Long Thanh Dist, Dong Nai",VH,MCN,p,UW,4,,,,,2,,2,,,10043478,20076713,DNLTAP5CWT,10,2022,11/12/2021
VC - 220623 - 01,23/06/2022,VIJACHIP VUNG ANG CORPORATION.,"VIJACHIP VUNG ANG CORPORATION-Location 1, Vung Ang Economic Zone, Ky Anh,, Ha Tinh",VC,NTT,p,UW,6,,,4,,2,,,,n,10009594,20086386,HTKAVAVIJA,6,2022,15/12/2021
VH - 220623 - 01,23/06/2022,"NISSEI ELECTRIC HANOI CO., LTD.","NISSEI ELECTRIC HANOI CO., LTD, I-3, Thang Long IP, Dong Anh, Ha Noi",VH,TDH,p,UW,,,,,,,,,,,10001847,20007610,BNTSTSIZNI,6,2022,15/12/2021
VH - 220913 - 01,13/09/2022,"DYNAPAC (HAIPHONG) CO., LTD","DYNAPAC (HAIPHONG) CO., LTD, 126, Rd 6, VSIP HP,Dinh Vu Cat Hai EZ, Thuy Nguyen, Hai Phong",VH,TDH,p,UW,5,,,3,,2,,,,n,,,HPTNVS6126,9,2022,17/12/2021
MS - 220209 - 01,09/02/2022,"PRO ACTIVE GLOBAL VIET NAM CO., LTD","PRO-ACTIVE GLOBAL VIET NAM CO., LTD, Lot A1-A7, Rd N2,Dai Dang IZ, Phu Tan, Thu Dau Mot, Binh Duong",MS,VKH,p,UW,6,,,1,1,5,5,,,y,10009333,20025722,BDTDDDN2A1,2,2022,26/12/2021
MN - 221021 - 01,21/10/2022,"VOLTRONIC POWER TECHNOLOGY (VIETNAM) CO.,LTD","VOLTRONIC POWER TECHNOLOGY (VIETNAM), Lot B1A/B/C, No.5, Rd 21A, VSIP Bac Ninh, Tien Du, Bac Ninh",MN,TDH,p,UW,,,,,,,,,,,10043097,20070185,BNDTVSIPBN,10,2022,30/12/2021
VH - 220216 - 01,16/02/2022,"TOHKEN VIETNAM MANUFACTURING CO.,LTD.","TOHKEN VIETNAM MANUFACTURING, Lot D10-11-12, Thang Long Vinh Phuc IZ, Thien Ke, Vinh Phuc",VH,NTT,p,UW,6,,,5,1,1,,,,n,10000738,20002578,HPNQLLSUMI,2,2022,31/12/2021
VH - 220427 - 01,27/04/2022,NIDEC CHAUN CHOUNG VIETNAM CORPORATION,"NIDEC CHAUN CHOUNG VIETNAM CORPORATION, Lot CN1-05-5, High-tech IZ, Hoa Lac, Thach That, Ha Noi",VH,TDH,p,UW,2,,,,,2,,,,n,10051670,20093001,HNTTHLNDCC,4,2022,31/12/2021
VH - 220510 - 01,10/05/2022,"VIETNAM TABUCHI ELECTRIC CO.,LTD.","VIETNAM TABUCHI ELECTRIC CO., LTD., Lot I-3, Dai Dong Hoan Son IZ, Tien Du, Bac Ninh",VH,TDH,u,UW,4,,,2,2,2,2,,,y,10001535,20006270,BNTDDDVTEC,5,2022,31/12/2021
VC - 220608 - 02,08/06/2022,TORAY INTERNATIONAL VIETNAM COMPANY LIMITED-QUANG NGAI,"TORAY INTERNATIONAL VN CO LTD - QUANG NGAI BRANCH ,No.9, Tu Do Boulevard, VSIP, Tinh Tho, Son Tinh ,Quang Ngai",VC,NTT,n,UW,7,,,6,,1,,,,n,10104445,20103215,QNSTVSIP09,6,2022,31/12/2021
VC - 220609 - 01,09/06/2022,"ROUTE INN VIETNAM INVESTMENT CO., LTD","ROUTE INN VIETNAM INVESTMENT CO., LTD, No. 1-3 Dong Da Street, Hai Chau, Da Nang",VC,NTT,u,RS,7,,,2,,4,,1,,n,10010675,20028128,DNHCDD13RI,6,2022,31/12/2021
VC - 220614,14/06/2022,"MK SEIKO (VIETNAM) CO.,LTD.","M.K SEIKO (VIETNAM) CO., LTD, Road 14, Tan Thuan EPZ, District 7, HCMC",VC,NNH,p,UW,0,,,,,,,,,,10000359,20076145,SGD7TTMKSE,6,2022,31/12/2021
