Clt_No,Po_No,Accumulate,Surveyor,Survey_date,Insured_name,Risk_location,DIV,CTR,CLS,STT,Effective_date,Inception_date,Renew_date,Contract_type,Rkn,Risk_type,Original_SI,VND_SI,Survey date1,Survey date 2,Survey date 3,Survey date 4,Survey date 5,Survey date 6,Survey date 7,Survey date 8,Survey date 9,Fire code,Agent name,Occupation,Business Line,Remark,Month,Year
10006411,20019178,HYYMTLIPF5,NTT,13/09/2022,"MICROTECHNO CO., LTD","Microtechno Vietnam Co., Ltd, Lot F-8 (RF-5) Thang Long 2 IP, Yen My, Hung Yen",VH,JPN,C,IF,01/11/2017,09/12/2016,08/12/2017,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"4,918,671.00","111,752,205,120.00",,,,,,,,,,XXXX,DIRECT HANOI,Metal processing,  ,,9,2022
10000029,20019626,SGTDLTSAGA,,,SAGAWA EXPRESS VIETNAM,"SAGAWA EXPRESS VIETNAM, Lot 117, Linh Trung EPZ, Thu Duc, HCMC",VC,JPN,D,IF,01/03/2018,27/01/2018,26/01/2019,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"7,000,000.00","158,970,000,000.00",,,,,,,,,,XXXX,DIRECT HCM,Warehousing & Transportation,  ,,,
10001329,20031851,DNBHA7A301,NTT,29/07/2022,"BROTHER INDUSTRIES SAIGON, LTD.","BROTHER INDUSTRIES SAIGON LTD., Plot 301 - Street 7A, Amata IZ, Bien Hoa, Dong Nai",VC,JPN,C,IF,25/08/2017,31/01/2017,30/01/2019,ARC - PROPERTY ALL RISKS,1,ARB - PROPERTY ALL RISKS,"36,935,592.00","838,807,294,320.00",,,,,,,,,,16713,WILLIS TOWERS WATSON-BRK-VC,As mentioned above,"Manufacturing sewing machines, cutting machines, embroidering machines and other related activities ",,7,2022
10005102,20016253,SGBBTTTAIS,CA,,"TAISHO&7 PACKAGE TECHNOLOGY CO., LTD","TAISHO&7 PACKAGE TECHNOLOGY CO., LTD, 26-28 Tan Tao Rd., Tan Tao IZ, Binh Tan, HCMC",VC,JPN,E,IF,12/04/2019,01/06/2018,31/05/2019,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"22,416,332,734.00","22,416,332,734.00",20190412,,20190412,,,20160224,,,,XXXX,DIRECT HCM,Packaging Manufacturer,  ,Actually Lapsed,,
10000020,20043890,BRVTPM1OTS,CA,,MITSUI & CO. VIETNAM LTD,"OTRANS WAREHOUSE, Road 4, Phu My 1 IP, Phu My, Tan Thanh, Ba Ria Vung Tau",VC,JPN,D,IF,16/07/2018,16/07/2018,07/06/2019,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"750,000.00","17,553,000,000.00",,,,,,,,,,17.2A,DIRECT HCM,Warehouse,Trading  ,"Low SI, as per new guideline",,
10000057,20022393,BNTSVSIP6,,,SAGAWA EXPRESS VIETNAM-HANOI BRANCH,"SAGAWA EXPRESS VIETNAM - HANOI BRANCH, Tu Son Warehouse - No.1, Road VSIP 6, VSIP, Tu Son, Bac Ninh",VH,JPN,D,IF,01/07/2019,16/07/2018,15/07/2019,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"7,319,867.00","168,576,537,010.00",20180321,,,20180321,,20160217,20151218,,,18.1AB,DIRECT HANOI,Warehouse,Warehouse & transportation  ,,,
10003759,20023331,HYMHDSTLM6,,,"BANDO MANUFACTURING (VIETNAM)CO., LTD","BANDO MANUFACTURING (VIETNAM) CO., LTD, M-6 Plot, Thang Long 2 IP, Di Su, My Hao, Hung Yen",VH,JPN,E,IF,01/08/2019,11/09/2018,10/09/2019,ISR - INDUSTRIAL ALL RISKS,4,ARB - PROPERTY ALL RISKS,"243,428,263,169.00","243,428,263,169.00",,,,,,,,,,18.1AB,DIRECT HANOI,Manufacturing of plastic parts for motor bike,  ,,,
10000049,20009672,BDPCCTPKTP,CA,,MITSUI BUSSAN I-FASHION LTD.,"PHU CAT GARMENT JOINT STOCK COMPANY, PHU KIM HAMLET,CAT TRINH COMMUNE,PHU CAT DISTRICT, Binh Dinh",VH,JPN,D,IF,07/10/2018,07/10/2018,06/10/2019,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"111,984,000.00","22,469,589,600.00",,,,,,,,,,18.1AB,DIRECT HANOI,Garment,Garment  ,"Low SI, as per new guideline",,
10000420,20004653,SGD7TTEPZN,,,"NIDEC COPAL VIETNAM CO., LTD","NIDEC COPAL VIETNAM CO., LTD, CR1.04B-06-10-12-14-16, St.8,Tan Thuan EPZ, Dist 7, HCMC",VC,JPN,C,AR,01/11/2019,01/11/2018,31/10/2019,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"49,627,860.00","1,156,329,138,000.00",20160928,,,,,20160928,20150921,,,18.2A,MARSH-BRK-VC,As described above,Manufacturer of Vibrating Motors for Hand Phones  ,,,
10029410,20055218,HPTNNCKCN1,,,FINPROJECT VIET NAM COMPANY LIMITED,"FINPROJECT VIETNAM CO., LTD, Lot CN1, Nam Cau Kien IP, Hoang Dong, Thuy Nguyen, Hai Phong",VH,HKD,E,IF,25/06/2019,23/06/2019,31/12/2019,ARC - PROPERTY ALL RISKS,1,ARB - PROPERTY ALL RISKS,"1,516,611.00","39,481,024,196.00",,,,,,,,,,18.2A,AON-BRK-VH,"Durable Goods, Nec",  ,,,
