Date,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27
30/12/2016,17,27,84,84,42,53,82,30,98,46,27,27,20,28,73,91,2,15,32,97,16,6,17,30,37,15,5
29/12/2016,98,33,40,62,2,28,39,90,65,82,85,96,94,84,76,93,73,50,37,9,97,24,83,11,16,31,92
28/12/2016,44,0,86,72,25,39,32,69,25,62,17,18,4,56,94,61,64,65,60,34,62,8,65,22,12,99,78
27/12/2016,91,49,12,89,69,83,45,62,71,67,57,16,31,57,41,42,75,80,43,34,26,72,15,5,88,54,38
26/12/2016,25,26,49,91,39,93,68,40,87,76,92,51,57,53,33,80,84,40,1,19,60,23,58,26,35,90,18
25/12/2016,57,35,6,45,56,34,25,16,78,68,14,81,80,53,72,20,55,76,25,43,94,31,6,23,65,18,84
24/12/2016,38,53,9,14,99,93,83,9,39,84,52,75,69,30,46,81,95,64,92,87,85,63,57,96,2,44,49
23/12/2016,98,80,68,59,73,7,1,23,93,15,52,43,59,9,62,49,86,22,60,80,49,33,39,15,8,54,59
22/12/2016,84,56,1,18,82,89,51,30,15,75,9,95,40,25,26,28,96,35,63,58,95,9,43,34,67,13,64
21/12/2016,77,76,15,6,38,22,2,44,93,52,22,0,35,82,73,76,54,91,64,22,45,8,52,18,79,69,78
20/12/2016,18,98,25,70,43,69,22,14,33,2,88,51,72,5,74,99,7,25,90,54,38,29,31,98,43,67,79
19/12/2016,60,92,60,42,19,57,66,46,29,53,80,60,55,9,5,90,57,36,66,46,74,71,71,18,38,28,50
18/12/2016,8,14,86,50,17,76,62,67,44,61,49,61,13,42,11,37,90,12,61,40,79,60,40,17,48,59,66
17/12/2016,22,67,17,97,9,91,41,38,81,51,15,5,14,7,30,25,35,6,27,52,27,95,46,69,32,16,84
16/12/2016,1,73,73,32,46,11,30,48,0,13,58,98,34,58,13,22,96,31,69,50,30,76,6,56,83,64,98
15/12/2016,78,95,75,99,44,80,99,8,25,38,86,78,22,84,27,52,43,61,43,42,39,77,90,35,80,82,21
14/12/2016,89,6,28,31,8,69,19,40,98,0,65,91,75,92,92,34,53,38,66,55,44,99,66,56,23,12,8
13/12/2016,65,48,64,2,97,96,45,3,93,23,70,35,41,84,83,86,0,33,33,55,9,89,45,50,21,69,29
12/12/2016,79,87,27,23,99,13,86,62,99,22,49,71,73,88,55,38,30,48,34,80,46,68,79,92,90,27,2
11/12/2016,23,77,76,71,34,39,36,45,29,72,23,20,96,72,57,39,39,62,12,58,69,50,66,56,14,28,72
10/12/2016,34,14,45,3,22,70,41,62,54,71,72,58,96,62,74,73,25,62,87,32,55,2,34,51,29,39,61
09/12/2016,35,2,25,37,76,42,86,89,26,55,46,24,90,18,98,55,16,82,32,20,46,18,5,1,12,66,7
08/12/2016,21,53,92,82,0,48,13,65,33,37,54,51,84,58,84,5,75,0,48,46,49,0,24,72,6,91,14
07/12/2016,83,24,10,73,48,12,49,51,74,96,49,32,8,60,95,16,86,10,25,17,7,10,41,78,1,32,93
06/12/2016,24,27,61,8,20,76,32,11,9,10,37,43,12,94,31,81,67,10,16,27,14,57,66,69,2,87,64
05/12/2016,60,19,78,61,30,78,18,92,24,95,20,64,67,43,45,33,84,91,34,77,27,46,94,72,40,15,24
04/12/2016,49,32,22,25,8,87,27,97,11,97,47,66,23,27,31,97,2,78,82,10,97,30,88,46,2,92,20
03/12/2016,18,44,82,79,22,37,0,99,60,6,14,14,1,44,80,7,11,0,1,88,72,83,56,25,98,14,76
02/12/2016,91,65,42,46,48,45,40,16,48,81,40,14,72,56,39,75,53,40,26,67,61,15,84,97,42,94,6
01/12/2016,48,32,83,16,69,76,82,89,7,34,85,1,84,38,8,73,94,75,32,18,91,61,11,46,52,20,54
30/11/2016,75,7,1,93,29,92,9,70,72,66,57,23,73,46,57,32,91,81,23,42,45,25,59,11,50,67,44
29/11/2016,25,6,59,26,19,73,84,37,33,73,83,0,34,11,28,74,95,22,93,52,75,91,10,33,22,14,88
28/11/2016,62,39,46,79,69,70,62,27,20,30,57,78,12,43,70,1,67,44,8,6,7,22,16,18,22,11,23
27/11/2016,92,30,79,46,24,74,66,26,89,25,66,62,59,17,21,35,21,42,26,22,13,46,17,19,35,92,91
26/11/2016,8,15,89,60,31,53,28,47,77,30,1,70,75,55,20,78,37,9,19,9,65,41,2,32,89,64,34
25/11/2016,98,21,63,22,18,17,12,96,70,84,71,27,34,81,70,13,45,67,15,26,59,67,58,90,79,68,41
24/11/2016,96,23,78,23,33,26,43,22,44,74,1,23,19,81,75,24,6,56,35,99,19,72,64,29,91,38,39
23/11/2016,70,60,97,43,4,84,24,27,40,89,54,67,41,85,11,46,0,28,68,45,3,58,45,19,27,69,84
22/11/2016,76,46,84,12,28,54,23,45,75,9,68,83,6,51,11,50,82,77,4,3,49,34,78,90,35,92,39
21/11/2016,93,99,78,4,87,69,79,75,91,81,39,68,76,58,38,5,85,98,69,87,70,55,10,75,8,27,28
